Scale Factor (a),Curvature (k),Redshift (z),Comoving Distance (Mpc),Proper Distance (Mpc),Angular Distance (Mpc),Luminosity Distance (Mpc),Light Travel Time (Gyr),Big Bang to z Travel Time (Gyr),Universe Time (Gyr)
0.9900990099009901,k = 0,0.01,1.384804932877288e-18,1.384804932877288e-18,1.3710939929478098e-18,1.3986529822060607e-18,0.13877391608686812,13.337531901866809,13.476305817953673
0.900163666121113,k = 0,0.1109090909090909,1.5001288786451558e-17,1.5001288786451558e-17,1.3503615110553776e-17,1.666506808822164e-17,1.433408565667025,12.042897252286648,13.476305817953673
0.8252063015753938,k = 0,0.21181818181818182,2.794935405850535e-17,2.794935405850535e-17,2.3063983094040426e-17,3.386953541817058e-17,2.5573786870011177,10.918927130952556,13.476305817953673
0.7617728531855955,k = 0,0.31272727272727274,4.021732316996538e-17,4.021732316996538e-17,3.0636465018671683e-17,5.2794376961300007e-17,3.537075236187127,9.939230581766545,13.476305817953673
0.707395498392283,k = 0,0.41363636363636364,5.180929536934205e-17,5.180929536934205e-17,3.664966231914872e-17,7.323950390847899e-17,4.394185866066399,9.082119951887274,13.476305817953673
0.6602641056422569,k = 0,0.5145454545454545,6.274181497050833e-17,6.274181497050833e-17,4.142616834787464e-17,9.502533067351534e-17,5.14676506532305,8.329540752630622,13.476305817953673
0.6190208216094542,k = 0,0.6154545454545455,7.304045041308193e-17,7.304045041308193e-17,4.5213559625430574e-17,1.1799352762186055e-16,5.809952439234586,7.6663533787190925,13.476305817953673
0.5826271186440678,k = 0,0.7163636363636363,8.273670445906253e-17,8.273670445906253e-17,4.82046477250894e-17,1.4200627092610004e-16,6.396492919955255,7.079812897998411,13.476305817953673
0.5502751375687843,k = 0,0.8172727272727273,9.186546079956718e-17,9.186546079956718e-17,5.055127907930159e-17,1.6694459648939527e-16,6.917138732622916,6.559167085330758,13.476305817953673
0.5213270142180094,k = 0,0.9181818181818182,1.0046301501410125e-16,1.0046301501410125e-16,5.237408365664046e-17,1.9270632879977606e-16,7.380974154864914,6.095331663088759,13.476305817953673
0.49527239981990095,k = 0,1.019090909090909,1.0856564456936941e-16,1.0856564456936941e-16,5.3769567323865985e-17,2.1920390598960858e-16,7.795684553161193,5.680621264792482,13.476305817953673
0.4716981132075471,k = 0,1.1199999999999999,1.1620862998038576e-16,1.1620862998038576e-16,5.481539150018195e-17,2.463622955584178e-16,8.16778174707093,5.3085240708827435,13.476305817953673
0.45026606631191163,k = 0,1.220909090909091,1.234256293732557e-16,1.234256293732557e-16,5.557437261996777e-17,2.741171023262397e-16,8.502793358743423,4.97351245921025,13.476305817953673
0.43069694596711044,k = 0,1.3218181818181818,1.3024831633092892e-16,1.3024831633092892e-16,5.60975520610892e-17,3.024129090083568e-16,8.805421757070976,4.670884060882699,13.476305817953673
0.41275797373358347,k = 0,1.4227272727272726,1.3670620581745674e-16,1.3670620581745674e-16,5.642657651001966e-17,3.3120185318502023e-16,9.07967716660727,4.396628651346405,13.476305817953673
0.3962536023054755,k = 0,1.5236363636363637,1.4282660925198749e-16,1.4282660925198749e-16,5.65955584211766e-17,3.6044242480319745e-16,9.328988868107707,4.1473169498459646,13.476305817953673
0.38101835815725665,k = 0,1.6245454545454545,1.486346745590138e-16,1.486346745590138e-16,5.66325396657136e-17,3.9009845950170255e-16,9.556297917010404,3.920007900943271,13.476305817953673
0.3669112741827885,k = 0,1.7254545454545454,1.541534791911247e-16,1.541534791911247e-16,5.656064946972554e-17,4.201383005590835e-16,9.764134359486999,3.7121714584666767,13.476305817953673
0.3538115149565777,k = 0,1.8263636363636364,1.5940415359393203e-16,1.5940415359393203e-16,5.63990250734401e-17,4.505341032032134e-16,9.954681511098123,3.521624306855553,13.476305817953673
0.3416149068322981,k = 0,1.9272727272727272,1.6440601967388534e-16,1.6440601967388534e-16,5.616354709356332e-17,4.81261257590828e-16,10.129829481418708,3.3464763365349643,13.476305817953673
0.33023116181326934,k = 0,2.028181818181818,1.6917673398717147e-16,1.6917673398717147e-16,5.586742941635805e-17,5.122979099193347e-16,10.291219784390625,3.185086033563047,13.476305817953673
0.31958163858221966,k = 0,2.129090909090909,1.7373242903476794e-16,1.7373242903476794e-16,5.552169434580033e-17,5.436245643069738e-16,10.440282571885678,3.036023246067996,13.476305817953673
0.30959752321981426,k = 0,2.2299999999999995,1.7808784860520186e-16,1.7808784860520186e-16,5.513555684371575e-17,5.752237509948019e-16,10.578267767265,2.8980380506886734,13.476305817953673
0.3002183406113537,k = 0,2.3309090909090906,1.8225647485590666e-16,1.8225647485590666e-16,5.4716736446915213e-17,6.070797489745836e-16,10.706271154405977,2.7700346635476962,13.476305817953673
0.2913907284768212,k = 0,2.4318181818181817,1.8625064599749642e-16,1.8625064599749642e-16,5.427171141648902e-17,6.3917835330959e-16,10.825256292047314,2.65104952590636,13.476305817953673
0.2830674215131241,k = 0,2.5327272727272723,1.9008166421401247e-16,1.9008166421401247e-16,5.380592656598398e-17,6.715066792142293e-16,10.936072969019893,2.5402328489337807,13.476305817953673
0.2752064048036027,k = 0,2.6336363636363633,1.937598939403234e-16,1.937598939403234e-16,5.332396380644377e-17,7.040529964358842e-16,11.039472788530826,2.4368330294228464,13.476305817953673
0.26777020447906524,k = 0,2.7345454545454544,1.9729485091399706e-16,1.9729485091399706e-16,5.2829682571907693e-17,7.368065886860908e-16,11.13612236494493,2.340183453008743,13.476305817953673
0.2607252903531643,k = 0,2.835454545454545,2.0069528258558162e-16,2.0069528258558162e-16,5.232633582463612e-17,7.697576338441534e-16,11.226614530681758,2.249691287271915,13.476305817953673
0.2540415704387991,k = 0,2.936363636363636,2.0396924055193642e-16,2.0396924055193642e-16,5.181666619102312e-17,8.028971014453496e-16,11.3114778806303,2.1648279373233774,13.476305817953673
0.24769196126998425,k = 0,3.037272727272727,2.071241457022196e-16,2.071241457022196e-16,5.130298587535275e-17,8.362166646032338e-16,11.3911849240821,2.0851208938715704,13.476305817953673
